OLASI SORULAR - PINAR AGENT 35 YAŞINDA ATİNADA YAŞIYOR,CEVAPLAR 
Türkiye’de de kira gelirini bildirmem gerekir mi?,Hayır Türkiyeye herhangi bir bildirim yapma zorunluluğunuz bulunmamaktadır. 
Çifte vergilendirme anlaşması kira gelirine uygulanır mı?,"Çifte vergilendirme anlaşması iki ülke arasında yapılan tüm işlemleri içerir, Türkiye'de Yunanistan gelirleriniz sorulması durumunda gerekli bilgilendirme o zaman yapılabilir "
Kira gelirinin Yunanistan’daki banka hesabına yatması zorunlu mu?,Kanunen kiracınızın kiraya bankaya sizin hesabınıza ödemesi gerekmektedir
Kira gelirini Türkiye’deki hesabıma aktarabilir miyim?,Evet gelirinizi Türkiyedeki bankanıza aktarabilirsiniz
Kiracının ödemeleri nakit olarak alınabilir mi?,Kiralar bankaya yatmak zorundadır. Kanunen elden ödeme mümkün değildir
Kiralama gelirlerinden kesinti yapılır mı?,Kira gelirinizden bir sonraki yılda Gelir Vergisi Ödemeniz olacaktır.
Kiracı bulma sürecinde emlak ofisiyle çalışmak zorunlu mu?,Hayır bir emlak ofisi ile çalışma zorunluluğunuz bulunmamaktadır. İsterseniz kendinizde kiraya verebilirsiniz. 
Kira takibini kim yapabilir – property manager gerekli mi?,Kira takibini sizde yapabilirsiniz. Bir emlak ofisi ile çalışıyorsanız sizin adınıza kiralama ve takibini firmamız da yapabilir
Kiralama sonrası fatura ve belgeleri kim takip eder?,"Sizin adınıza kiralama yapma yetkimiz varsa, firmamız  sizin adınıza her türlü işlemi takip etmekle yükümlüdür"
Kiralama gelirleri için Yunanistan’da muhasebeciyle çalışmak gerekir mi?,"her sene vergi beyannamesi düzenlenir bunu biz birlikte çalıştığımız muhasebeciler vastısıyla yaptırırız , alınan tüm kira gelirlerinin vergi dairesine bildirilmesi zorunludur ve bunu muhasebeciler yapar "
Uzaktan kiralama yönetimi yapılabilir mi?,Eğer kiralama ile ilgili yetkiyi bir Vekaletname ile vermişseniz siz Atinada olmasanızda firmamız sizin adınıza bu işlemleri yapmaktadır
Kiracının tahliyesi gerektiğinde süreç nasıl işler?,Bu süreçte Avukatımız sizden alacağı yetkiye istinaden konuyu hukuki boyutta mahkemeye taşıyacaktır
Kira ödemelerinde gecikme olursa ne yapılmalı?,"Kiralarda gecikme olması halinde ofisimizde kiralama departmanında görevli temsilciniz kiracıyı arayarak konu hakkında bilgi alıp, kiranın yatırılmasını ister. Eğer kiracı 2 ayı geçen bir sürede kirayı yatırmazsa bu sefer konu Avukatlarımız tarafından adli yargıya taşınır"
Kiralama işlemleri sırasında vekaletle hareket edilebilir mi?,Evet Avukatlarımıza vereceğiniz vekaletname ile bu işlemleri sizin adınıza firmamız yapmaktadır
Oturum izni aldıktan sonra mülkü kiraya verirsem problem olur mu?,Mülkü satın aldıktan sonra kiraya vermenizde hiçbir problem oluşmaz. Mülkünüzü kiraya verip euro bazında kira geliri elde edebilirsiniz
Oturum izni yenilenirken kiraya verilmiş olması olumsuz etki yapar mı?,"Yunanistanda satın alacağınız mülkü kanunen kiraya vermenizde bir problem olmadığı için, Oturum izninizin yenilenmesi aşamasında mülkünüzün kirada olması herhangi bir sorun teşkil etmez"
Kira sözleşmesi oturum izni belgelerine eklenmeli mi?,Kira işlemleri ile oturum izniniz arasında organik bir ilişki yoktur 
"Kiraya verilen mülk, yatırım tutarını etkiler mi?",Kiraya verilen mülk yatırım tutarını etkilemez
Kiralama yapılırken mülkün değeri düşerse oturum izni riske girer mi?,Mülkün değerinin düşmesi satın alma fiyatını etkilemeyeceği için oturum izninizde bir değişiklik olmaz
Kiralama için ayrı bir vergi numarası almak gerekir mi?,Hayır gerekmez. Mülkü satın alırken sizin adınıza aldığımız vergi numaranız bundan sonraki süreçte  yapacağınız bütün işlemler için kullanılacaktır
Kira ödemeleri otomatik tahsil edilebilir mi?,Bu husus kiracınızın otomatik ödeme talimatı vermesi ile alakalı bir konudur
Kısa dönem kiralama gelirleri için banka komisyonu alınır mı?,Yeni düzenlemeler ile; Kısa dönem kiralama yapılması kanunen mümkün bulunmamaktadır
Kira ödemelerinde euro dışında para kabul edilebilir mi?,Yeni düzenlemeler ile; Kısa dönem kiralama yapılması kanunen mümkün bulunmamaktadır
Yunanistan’da kira gelirini beyan etmezsem ne olur?,"Bir önceki yıl elde ettiğiniz kira gelirini bir sonraki yıl vergilendirme yükümlülüğüz bulunmaktadır. Eğer gelirinizi beyan edip beyanname düzenlenlemezseniz bu vergi kaçırmak olur, buda kanunen suçtur"
Oturum izni kaç yılda bir yenilenir?,Oturum izniniz mülkünüzü satmadığınız müddetçe her beş yılda bir yenilenir
Yenileme başvurusu ne zaman yapılmalıdır?,Yenileme başvurusu kartınızın süresi olmadan 6 ay içinde yapılabilir
Yenileme için Yunanistan’a gitmek zorunlu mu?,Biyometrik verilerinizin işlenmesi için her beş yılda bir Yunanistana gelip parmak izi vermeniz gerekmektedir
Yenileme başvurusu kim tarafından yapılabilir – avukat vekaletiyle olur mu?,Yenileme başvurusu Avukatınız tarafından yapılır ve Bakanlıktan size alınan gün gelip parmak izinizi vermeniz gerekmektedir
Yenileme başvurusu sırasında oturum kartının süresi dolarsa ne olur?,"Avukatlarımız sizin adınıza süreci yeniden başlatıp, Bakanlıktan gün alıp, sizleri parmak izi vermeniz için Yunanistana çağıracaklardır"
Oturum izni için banka kredisi kullanabilir miyim?,"Yabancılar Yunanistan'da kredi alamazlar. Ancak, iki yıllık bir geçmişiniz varsa ve bankanın şartlarını karşılıyorsanız, ev satın alabilirsiniz. Ancak, Altın Vize ile satın alınan bir mülk için gereken para, krediden değil, yurt dışından gelmelidir."
Yenileme sürecinde geçici oturum belgesi (blue certificate) verilir mi?,blue certificate veya mavi izin eski kanun ile ilgili bir terimdir . yeni kanun ile buna geçici izin veya beyaz kağıt white paper diyorlar 
Yunanistan Golden Visa oturum izni sahiplerinin hakları nelerdir ? ,"İki husus hariç, Yunan vatandaşlarıyla aynı haklara sahiptirler. Birincisi, başkaları için çalışamazlar. İkincisi, oy kullanamazlar. Herhangi bir suç faaliyetine karışırsanız, ikamet izniniz iptal edilir."
Yenileme süreci ne kadar sürer?,"Oturum izni yenileme sürecinde ödenen harçlar ve devlet tarafından alınan işlem ücretleri, ilk başvuruyla aynıdır. Ancak işlem süresi genellikle daha kısadır. Yenileme başvurularında belgelerin büyük kısmı sistemde mevcut olduğundan, süreç daha hızlı ilerler ve oturum kartı onayı ilk başvuruya kıyasla daha kısa sürede sonuçlanır."
Yunanistan golden visa almak için hangi uzmanlarla çalışmam lazım?,"Bir emlak danışmanına , avukata, notere, mühendise ihtiyacınız olacak. Mülk satın alındıktan sonra banka hesabı konusunda size yardımcı olması gereken banka müdürü veya banka müşteri temsilcisine ihtiyacınız olacak . "
Yenileme işlemleri çevrim içi yapılabilir mi?,Yenileme işlemi çevrimiçi yapılamaz. Size alınan gün Yunanistana gelip yeniden parmak izi vermeniz gerekmektedir
Oturum izni ile Yunanistan'da araba satın alabilir miyim?,"Evet, oturum izni kartınızı aldıktan sonra araç satın alabilir ve ehliyet alabilirsiniz. Ehliyet alabilmek için "" AMKA"" numarasına ihtiyacınız olabilir bu konuda size yardımcı olan yetkili ile bu hususu konuşmanızı öneririm. "
Oturum kartı yenilenirken biyometrik veriler tekrar alınır mı?,Evet her beş yılda bir  oturum kartlarınızın yenilenmesi aşamasında Yunanistana gelip biyometrik verilerinizi yeniden vermeniz gerekmektedir
Airbnb ve Booking platformlarında evimi kısa süreli konaklamalar için kiralayabilir miyim?,"Oturma izni için satın alınan evlerin kısa süreli kiralanması yasaktır. Bu durumun tespit edilmesi halinde, 50.000 € para cezası uygulanabilir ve oturma izni iptal edilebilir. Bununla birlikte uzun vadeli yatırımların kazancı daha yüksektir. "
"Yenileme ücreti var mı, varsa ne kadar",yenileme ücreti için avukat 2.000 euro dosya takip ücreti alır devlete ödenen diğer masraflar  yatırımcı için kart harcı 2016 diğer fertler için 166 eurodur 
Golden Visa yenilemesi için mülkü satmamış olmam gerekir mi?,Oturum izninizin yenilenmesi için satın aldığınız mülkü satmamış olmanız gerekmektedir. Mülkünüzü satmanız halinde oturum izniniz düşecektir
Yatırım yaptığım mülkün değeri düşerse yenileme reddedilir mi?,"Yatırım yaptığınız mülkün ticari değeri düşebilir, bu değişim oturum izninizin yenilenmesine herhangi bir sorun teşkil etmez "
Yenileme sırasında yeniden yatırım yapmam gerekir mi?,Yenileme ilk aldığınız mülk üzerinden yapılabilir ekstra bir yatırım yapmanıza gerek yoktur 
Mülkü yenileyip farklı bir gayrimenkule geçersem sorun olur mu?,Satın aldığınız mülkü satmanız halinde oturumunuz düşecektir.
Mülk ipotekliyse veya kiradaysa yenileme yapılabilir mi?,Mülk kirada ise yenileme yapılabilir 
Yenileme için mülk tapusunun yeniden sunulması gerekir mi?,Yenileme esnasında ilk başvuru için vermiş olduğunuz tüm evraklar sunulmalıdır. 
Yenilemede banka hesap hareketi veya gelir belgesi istenir mi?,"Yatırım yaptığınız mülkün ticari değeri düşebilir, bu değişim oturum izninizin yenilenmesine herhangi bir sorun teşkil etmez "
Mülk başka birine devredildiyse oturum iznim geçerli olur mu?,Satın aldığınız mülkü bir başkasına devretmeniz halinde oturumunuz düşecektir
Yenileme sırasında sigorta poliçesi güncel olmalı mı?,Yenileme esnasında sigortanız yeniden yapılcaktır
Yenileme başvurusu için mülk adresinde ikamet etme zorunluluğu var mı?,hayır yenileme için herhangi bir kalma zorunluluğu yok ama sabit bir adres gösterme zorunluluğu var 
Aile üyelerinin oturum izinleri ana başvuru sahibine mi bağlıdır?,Oturum izninden yararlanacak kişiler mülk sahibi tarafından beyan edilecektir
Ana yatırımcı oturumunu yenilemezse aile izinleri de iptal olur mu?,Oturum izninde her birey ayrı olarak işlem görür. Ana yatırımcıya bağlı olmasına rağmen münferit bir kişi olarak telakki edilir ve bu şekilde işlem görür 
Çocuk 21 yaşını geçtiyse yenileme sırasında ne olur?,Çocukların 21 yaşını geçmesi halinde oturumu düşer
Ebeveynler için yenileme süreci aynı mı?,Ebeveynler içinde yenileme süreci mülk sahibi ile aynı prosedürdedir
Eş vefat ederse oturum izni yenilenebilir mi?,Mülkü satın alan kişinin vefat etmesi halinde oturum izni düşer
Yeni doğan çocuk için oturum izni nasıl eklenir?,Yeni doğan çocuk Avukatınızın hazırlamasını istediği belgelerin tamamlanması halinde sisteme dahil edilir
Yenileme için hangi belgeler gerekir?,"Yenileme için ilk başvuruda verdiğiniz belgeler bakanlığa sunulur . Mülkün tapusu , pasaport, nufus kayıt örneği ve biyometrik bilgiler gerekmektedir. "
"Tapu, vergi ve sigorta belgeleri yenilenmiş olmalı mı?",Tapu yenilenen bir belge türü değildir. Sigorta belgeleri bitiş tarihi olan bir belge olduğu için yürürlükte olması gereklidir.
Sabıka kaydı ve sağlık sigortası belgesi yeniden istenir mi?,Yenileme için şu andaki kanun gereği sabıka kaydı istenmemektedir. Sigorta belgelerinin yürürlükte olması gerekir 
Belgelerin Yunanca tercümesi zorunlu mu?,Türkiyede hazırladığınız Türkçe belgelerin Yunanistanda tercüme ettirilmesi zorunludur
Apostil şerhi yenilemede de gereklidir mi?,"Yenileme için ilk başvuruda verdiğiniz belgeler bakanlığa sunulur . Mülkün tapusu , pasaport, nufus kayıt örneği ve biyometrik bilgiler gerekmektedir. "
Belgeler eksik olursa başvuru reddedilir mi?,Belgelerde eksiklik olması halinde Avukatınız sizden düzeltilmesini veya eksik evrağın tamamlanması istemesiyle birlikte tamamlanan evraklar yeniden Bakanlığa iletilecektir
Yenileme başvurusu reddedilirse itiraz hakkı var mı?,"Şimdiye kadar herhangi bir işlemimiz red edilmediyse de , red alınması durumunda itiraz hakkı ve yeniden başvuru hakkı bulunmaktadır. "
Yenileme sürecinde avukatın rolü nedir?,"Yenileme süreci başlangıç ilk başvuru süreci ile işlem olarak aynı, zaman olarak daha kısadır."
Yenilenmiş oturum izni yine 5 yıl mı geçerli olur?,Evet  mülkünüzü satmadığınız müddetçe her beş yılda bir oturumunuz yenilenecektir
Yenileme sonrası kartın formatı veya numarası değişir mi?,Her beş yılda bir kartlarınız yenileneceği için yeni kartlarınız gelecektir. Kartın formatı ve size verilecek kart devlet tarafından düzenlendiği için bu konuda bizim cevap vermemiz doğru olmaz 
Yenileme sırasında Schengen seyahati yapılabilir mi?,Oturum kartlarınızın süresi geçmediği müddetçe Schengen bölgesi ülkelerde kartınızı kullanabilirsiniz
Yeni kart eski kartın tesliminden sonra mı verilir?,yeni kart başvurusu yapıldığı zaman eski kart teslim edilir ve yeni kart için geçici bir oturum izni belgesi verildikten sonra yeni kartların gelmesi beklenir 
Yenileme başvurusu sırasında Yunanistan’dan çıkabilir miyim?,Yenileme esnasında sadece biyometrik veriler için Yunanistanda bulunmanız gerekmektedir. Tekrar imzaların verilmesi haricinde Yunanistanda bulunma ve bekleme zorunluluğunuz bulunmamaktadır
Blue certificate ile seyahat etmek mümkün mü?,Asıl oturum kartlarınız geldikten sonra Schengen Bölgesi ülkelerde 180 günde 90 gün dolaşım hakkınız başlar
Mülk satışı devam ederken yenileme başvurusu yapılabilir mi?,Mülkünüzü sattığınız an oturum hakkınız düşer
"Yatırım yapılan mülk üzerinde hukuki sorun varsa (ipotek, dava vb.) yenileme reddedilir mi?","Evet mülkün üzerinde ipotek yada borç bulunması halinde önce ipotek kalkacak, borç ödenecek ve daha sonra satış yapılacaktır"
Oturum izni süresi dolduktan sonra yenileme yapılabilir mi?,Mülkünüzü satmadığınız müddetçe sınırsız oturuma sahip olacağınız için kartlarınız daha sonraki bir dönemde de yenilenebilir. Ancak kartınızın süresi dolduğunda vize hakkınız bitecektir
Yenileme gecikirse para cezası uygulanır mı?,hayır uygulanmaz 
Yenileme başvurusunun reddedilme nedenleri nelerdir?,ilk başta alınan mülk veya mülkler satılırsa veya kriminal bir durum oluşmuş ise oturum izni yenilemesi reddedilir
Yenileme reddi sonrası tekrar başvuru yapılabilir mi?,evet tekrar başvuru yapılabilir 
Mülk değerinin kanıtı için ekspertiz gerekir mi?,şu anda ekspertiz raporu gerekli değildir 
Yenileme sırasında emlak vergisi borcu kontrol edilir mi?,finansal yükümlülükler ile oturum izni arasında bir ilişki yoktur birbirinden bağımsızdır 
Vergi borcum varsa oturum iznim yenilenir mi?,Vergi borcunuz ile oturum arasında organik bir ilişki yoktur. 
Yenilemede gelir beyanı veya banka hareketi talep edilir mi?,hayır yenilemede finansal bilgiler istenmez - finansal belge ve bilgiler sadece banka açılış aşamasında gerçekleşir 
Oturum izni kartı kaybolmuşsa yenileme yapılabilir mi?,Oturum izni kartı kaybolursa avukatınız tarafından yenileme işlemi gerçekleştirilebilir 
Adres değişikliği olursa yeni kartta güncellenir mi?,Adres değişikliği olması halinde bize bildirmeniz yeterlidir
Yeni pasaport aldığımda eski oturum kartı geçerli olur mu?,Yeni pasaport bilgilerinizin bakanlığa bildirim zorunluluğu bulunmaktadır. Sadece bakanlık değil vergi dairesi ve bankaya da bildirim yapılmalıdır. 
Yenileme sonucu nasıl öğrenilir ve kart nereden teslim alınır?,Yunanistan oturum izni başvuru sonuçları ve-veya yenileme işlemlerinin sonuçlarını avukatınız takip edebilir . 
Oturum izni işlemimin ne durumda olduğunu kendim nasıl görebilirim ? ,https://pf.emigrants.ypes.gr/pf/               linkine bilgilerinizi eklemeniz durumunda oturum izni işleminizin seyrini kontrol edebilirsiniz 
dikkat edilmesi gereken konular ,"Oturum izni ile ilgili olarak yaptığınız her türlü ödeme banka vasıtasıyla, sözleşme veya herhangi bir evrak karşılığı yapılmalıdır. "
dikkat edilmesi gereken konular ,Oturum izni ev satın alınması esnasında yaptığınız mülk tutarı ödemesini yurtdışındaki kişisel hesabınızdan yapılması gerekir 
Ödemeyi Türkiyede'ki veya başka bir yerdeki şirket hesabından yapabilir miyim ?,"Hayır, ev için yapılan ödemelerin mutlaka kişisel hesabınızdan yapılması gerekmektedir. "
banka için hazırlanan evraklar türkçe mi ingilizce olacak ,önce türkçe hazırlanacak daha sonra yeminli tercümanda tercume ettikten sonra scan edip tek dosya halinde bize gönderilecek ve bankadan ön onay alınacak ve devam ediyoruz şeklinde size bilgi verilecek 
türkiyede hazırlanan vekalet ile ilgili olarak sureç ,size göndermiş olduğumuz örnek metini pasaportunuzla ve resimli olacak şekilde herhangi bir türk noterinde hazırlayabilirsiniz. nufus cuzdanı ile hazırlanan veya ehliyetle veya başka bir resmi evrak ile hazırlanan vekaletnameler yurtdışında kabul edilmiyor. noterde pasaportunuz ile hazırlayacağınız vekaletnameyi kaymakamlıkta apostil yaptıktan sonra taratarak kostas@investgreece.gr mail adresine göndermenizi ve esra hanım ile irtibat kurarak gönderdiğinizi belirtmenizi rica ediyoruz. 
